Campaign,Guid,Chapter,Description,Stage,X,Y,Z,Pitch,Yaw,Roll,Condition,SkipCondition,MiniBoss,Events,Tags,Include,Exclude
Ethan,777a5601-d506-4483-839c-b5fc6849edd1,1,[EXTRA] HUNTERS CABIN // Top of the stairs,40510,-186,13,69,0,0,0,b3bee246-d762-4244-bdb8-c7db24764ae8,ed3e9aac-6ad2-4eb4-a714-a96808ca8bdc,,,,,boss
Ethan,00a00310-dfa9-6e14-42f0-6707fd6256b0,1,[EXTRA] RUINED HOUSE // Across the Bridge,40504,-144,8,58,0,0,0,,,,,,,boss
Ethan,b230cab9-e6a1-3b1d-4753-1feedc3a4d59,1,[EXTRA] RUINED HOUSE // Before Crow Clearing,40504,-128,7,48,0,0,0,,,,,,,boss
Ethan,cd1d1e06-fd32-2c59-43df-bbd0f7ed71fa,1,[EXTRA] RUINED HOUSE // Before Ruined House Entrance,40504,-120,7,48,0,0,0,,,,,,,boss
Ethan,304b2af5-9353-aedb-4ff2-3eebe4935a40,1,[EXTRA] RUINED HOUSE // Standing by Crow,40504,-123,7,46,0,0,0,,,,,,,boss
Ethan,f024256f-5ba5-4bca-4dfc-79afe3e77cce,1,[EXTRA] PATH TO SIEGE // Before Crouch Branch,40504,-113,5,32,0,0,0,35882cb7-d15a-4ea9-b44b-8329e14b5309,,,,,fodder elite,
Ethan,cd91a02f-8b2a-853d-4ecb-8d59389eb6bd,1,[EXTRA] PATH TO SIEGE // After Ruined House,40504,-108,7,45,0,0,0,35882cb7-d15a-4ea9-b44b-8329e14b5309,,,,,fodder elite,
Ethan,75152fe5-89b9-ecce-4c4d-6eb76be6ac98,1,[EXTRA] PATH TO SIEGE // The Drawer Guardian,40504,-124,7,35,0,0,0,35882cb7-d15a-4ea9-b44b-8329e14b5309,,,,,fodder elite,
Ethan,da73460d-62b6-4dc2-9882-1183bba45389,1,chainsaw   Emerald x1,40200,0,0,0,0,0,0,,,,,noduplicate horde essential,,
Ethan,d47e2d46-cd1f-41b4-8f5e-9c58183540ee,1,chainsaw   Emerald x1,40200,0,0,0,0,0,0,,,,,noduplicate horde essential,,
Ethan,0c2ca06f-f6ac-4cc2-8405-12399fd2db4b,1,villager   * // Pail Carrier,40200,0,0,0,0,0,0,,,,,,elite boss,
Ethan,4a59a26f-da75-4f63-b2f3-e5b61f2658fa,1,villager  pitchfork * // Guarding Front of Shotgun House,40200,0,0,0,0,0,0,,,,,,elite boss,
Ethan,66c6e4ae-2c19-4552-9fe0-b89ecd0e0ea6,1,villager   * // Guarding Path to Farm,40200,0,0,0,0,0,0,,,,,,elite boss,
Ethan,87827167-575d-4f83-bba2-8c3b525332f5,1,villager  pitchfork * // Westside Hay Mover,40200,0,0,0,0,0,0,,,,,lockweapon,fodder elite ,
Ethan,f078d716-0fd8-4b3f-90d5-9ededc3ff195,1,villager   * // Granny Patrol,40200,0,0,0,0,0,0,,,,,,elite boss,
Ethan,bb879336-1b47-492b-8dd7-48c41d620453,1,villager  hatchet * // Outside Shotgun house Window,40200,0,0,0,0,0,0,,,,,,fodder elite ,
Ethan,bb1e5c3d-13d8-4a4b-b49d-cb8ba9c25012,1,villager  hatchet * // Bonfire Left,40200,0,0,0,0,0,0,,,,,,elite boss,
Ethan,75a68531-8cb0-476c-9909-5bd3cac1310c,1,villager   * // Firestarter,40200,0,0,0,0,0,0,,,,,,elite boss,
Ethan,7a5c62b8-00c8-4fb2-9a02-6e806c38f7b4,1,villager   * // Guarding Fence,40200,0,0,0,0,0,0,,,,,,elite boss,
Ethan,f4497266-8763-425c-b543-331dbdbfe44d,1,villager  hatchet * // Between Shotgun House and small Key Hut,40200,0,0,0,0,0,0,,,,,,fodder elite ,
Ethan,cba7d4c3-1780-4127-9d90-17645db43af2,1,villager  hatchet *,40200,0,0,0,0,0,0,,,,,,,
Ethan,cf0a04a2-e1b9-4ffc-b6dc-034192f04807,1,villager  hatchet *,40200,0,0,0,0,0,0,,,,,,,
Ethan,47a9c9e5-4f3a-4ea3-bd30-f66201b3a4ed,1,villager  shovel *,40200,0,0,0,0,0,0,,,,,,,
Ethan,3c07568b-9298-4bd6-b624-5872f4e60384,1,villager  hatchet *,40200,0,0,0,0,0,0,,,,,,,
Ethan,0ed74b78-7241-42c8-84cb-cddcb0534869,1,villager  hoe *,40200,0,0,0,0,0,0,,,,,,,
Ethan,6bf678af-432d-419b-bc9f-18e09e097112,1,villager   * // Grenade House Couch,40211,0,0,0,0,0,0,,,,,,small,
Ethan,1034c33d-6f02-4679-9ab8-4a1acce410a3,1,villager  hatchet * //Grenade House Chair,40211,0,0,0,0,0,0,,,,,,small,
Ethan,beeac7f4-214f-4b31-ad01-78fd82f1f584,1,villager   *,40210,0,0,0,0,0,0,,,,,noduplicate horde ,,krauser_1 mendez_2 verdugo pesanta u3
Ethan,63af98e8-3120-40e3-8748-32adc26e36c5,1,villager   .,40200,0,0,0,0,0,0,,,,,,,
Ethan,9cce7c37-d655-4c86-8bd0-1023ae850ce3,1,villager   .,40200,0,0,0,0,0,0,,,,,,,
Ethan,e5ca768d-af15-4752-9868-ea4154cb7fd0,1,villager  hatchet *,40200,0,0,0,0,0,0,,,,,,,
Ethan,679fa437-fe6a-4328-9ea0-df3eb3e3311c,1,villager   *,40200,0,0,0,0,0,0,,,,,,,
Ethan,6d4fd351-f657-4378-a84b-c42161d8c396,1,villager  hoe *,40200,0,0,0,0,0,0,,,,,,,
Ethan,759ce883-2bbf-473c-b4af-c238220d2f35,1,villager  knife *,40200,0,0,0,0,0,0,,,,,,,
Ethan,51aa211d-b7b2-4885-9965-97a9841456a5,1,villager  shovel *,40200,0,0,0,0,0,0,,,,,,,
Ethan,650760a3-c70b-4528-9282-ebd462fcfb59,1,villager  pitchfork *,40200,0,0,0,0,0,0,,,,,,,
Ethan,ab0fb467-863d-4127-95fe-dc4f99a0ff03,1,villager  hatchet *,40200,0,0,0,0,0,0,,,,,,,
Ethan,bbd00fce-e5c4-4bee-9d11-135efddedb95,1,villager   *,40200,0,0,0,0,0,0,,,,,,,
Ethan,bd7454bf-8aff-4caf-86c3-6e52b789e4bf,1,villager  hoe *,40200,0,0,0,0,0,0,,,,,,,
Ethan,a1d33fc4-8eaf-4062-86d2-625dfd6cf154,1,villager  hatchet *,40200,0,0,0,0,0,0,,,,,,,
Ethan,db7a0413-2860-46b5-9862-91d71b6cfe11,1,villager  knife *,40200,0,0,0,0,0,0,,,,,,,
Ethan,07054d3a-bddb-4ea7-ad50-68c57857812c,1,villager   *,40200,0,0,0,0,0,0,,,,,,,
Ethan,34d968b5-1321-40b6-aa54-6a067dcadddb,1,villager  shovel *,40200,0,0,0,0,0,0,,,,,,,
Ethan,110bf00a-7014-4a08-9ce9-269e817c9809,1,villager  pitchfork *,40200,0,0,0,0,0,0,,,,,,,
Ethan,9412b247-92ca-4232-a459-31697d834230,1,villager  hoe *,40200,0,0,0,0,0,0,,,,,,,
Ethan,3252af82-ba7f-4169-bf53-88352742875e,1,villager  hatchet *,40200,0,0,0,0,0,0,,,,,,,
Ethan,ac7e38a9-7576-4726-8717-94b7e5d8564d,1,villager   *,40200,0,0,0,0,0,0,,,,,,,
Ethan,793c6e1c-9f22-47b8-9f96-28b5c4313ce9,1,villager  hatchet *,40200,0,0,0,0,0,0,,,,,,,
Ethan,a2b498cc-2e4d-4a0a-bae8-773cde32e0d2,1,villager  knife *,40200,0,0,0,0,0,0,,,,,,,
Ethan,0889c6de-d8ed-4d3f-96da-49a70f931842,1,villager  hoe *,40200,0,0,0,0,0,0,,,,,,,
Ethan,cbd32609-d76c-4b0b-95d2-ab9f594acdbf,1,villager  shovel *,40200,0,0,0,0,0,0,,,,,,,
Ethan,32bc78f9-de19-4671-9930-ee6f71de918d,1,villager  pitchfork *,40200,0,0,0,0,0,0,,,,,,,
Ethan,40fccfa0-acfc-4ca8-97e0-fa38c47e12a3,1,villager   *,40200,0,0,0,0,0,0,,,,,,,
Ethan,ade94312-0d59-4405-a784-783f7281fff5,1,villager  hatchet *,40200,0,0,0,0,0,0,,,,,,,
Ethan,85995724-681c-4c28-b8af-1eed5f6ade93,1,villager  hoe *,40200,0,0,0,0,0,0,,,,,,,
Ethan,d7bb3cd8-0876-409a-9617-132ba1482d23,1,villager  knife *,40200,0,0,0,0,0,0,,,,,,,
Ethan,22dae440-b535-420a-8810-f8449aeaf05a,1,villager  hatchet *,40200,0,0,0,0,0,0,,,,,,,
Ethan,69c8963c-b753-4c13-8598-5cf101981e07,1,villager   *,40200,0,0,0,0,0,0,,,,,,,
Ethan,8cea3d0c-e81d-42e6-a076-6c82186767d8,1,villager  shovel *,40200,0,0,0,0,0,0,,,,,,,
Ethan,28c1426d-ceae-40a5-936e-232cbd72bd28,1,villager  pitchfork *,40200,0,0,0,0,0,0,,,,,,,
Ethan,32678bfb-8782-4b20-89ce-15fad84bfdfe,1,villager  hoe *,40200,0,0,0,0,0,0,,,,,,,
Ethan,a0574407-689f-44d4-8ad4-4bc252226d44,1,villager  hatchet *,40200,0,0,0,0,0,0,,,,,,,
Ethan,0e88e166-f1ee-4fb5-8e14-3329ad59c982,1,villager   *,40200,0,0,0,0,0,0,,,,,,,
Ethan,1afe081a-94d4-464c-8853-c6c5dea90ab4,1,villager  knife *,40200,0,0,0,0,0,0,,,,,,,
Ethan,73cde0e8-72bc-4846-956e-2ab6d4eb65c2,1,villager  hatchet * [REINFORCEMENTS],40200,0,0,0,0,0,0,,,,,,climber,
Ethan,6bc0ce27-9cee-4ea2-8617-50f377276ee7,1,villager  hoe * [REINFORCEMENTS],40200,0,0,0,0,0,0,,,,,,climber,
Ethan,ee0020d6-db18-4423-a945-02809e0ef583,1,villager   * [REINFORCEMENTS],40200,0,0,0,0,0,0,,,,,,climber,
Ethan,adbd4406-2acc-4723-a584-c1ffc85ffb44,1,villager  shovel * [REINFORCEMENTS],40200,0,0,0,0,0,0,,,,,,climber,
Ethan,a95334e7-3890-4ed8-abd8-9ac89ef60207,1,villager  pitchfork * [REINFORCEMENTS],40200,0,0,0,0,0,0,,,,,,climber,
Ethan,5873576a-a987-4471-a9b8-956ee271a89e,1,villager  hatchet * [REINFORCEMENTS],40200,0,0,0,0,0,0,,,,,,climber,
Ethan,f04407ed-4997-4392-96e6-176d7376e3a7,1,villager  knife * [REINFORCEMENTS],40200,0,0,0,0,0,0,,,,,,climber,
Ethan,bf82a9fc-0e6e-422a-b88f-8b4f5b4b02ef,1,villager  hoe * [REINFORCEMENTS],40200,0,0,0,0,0,0,,,,,,climber,
Ethan,df91062a-1488-445e-b8c3-2bc69be91137,1,villager   * [REINFORCEMENTS],40200,0,0,0,0,0,0,,,,,,climber,
Ethan,99927254-b335-4575-b339-670d13962b73,1,villager  hatchet * [REINFORCEMENTS],40200,0,0,0,0,0,0,,,,,,climber,
Ethan,886d0e0d-02a8-4331-9831-20c39aa6d393,1,villager  shovel * [REINFORCEMENTS],40200,0,0,0,0,0,0,,,,,,climber,
Ethan,a5316a86-b4d3-48f2-aaba-4a35ab934e39,1,villager  pitchfork * [REINFORCEMENTS],40200,0,0,0,0,0,0,,,,,,climber,
Ethan,59d8ad78-468b-44e9-a8ca-a47098af76e4,1,villager  knife * [REINFORCEMENTS],40200,0,0,0,0,0,0,,,,,,climber,
Ethan,e6a9afd7-fef2-44bf-b9ca-42190fd0257a,1,villager  hoe * [REINFORCEMENTS],40200,0,0,0,0,0,0,,,,,,climber,
Ethan,c067196b-e909-415e-8232-56599cd50ed5,1,villager   * [REINFORCEMENTS],40200,0,0,0,0,0,0,,,,,,climber,
Ethan,306e643a-5ce2-4474-9ff5-caf19f4bc330,1,villager  hatchet * [REINFORCEMENTS],40200,0,0,0,0,0,0,,,,,,climber,
Ethan,875b72c1-3cab-4914-b77a-ae309ed8f459,1,police   . // Bonfire Cop,40200,0,0,0,0,0,0,,,,,preserve noduplicate,,
Ethan,9509b307-7a47-47c9-86e7-a2bd5eb4121f,1,villager  machete * // Haybale Camper,43300,0,0,0,0,0,0,,,,,,elite boss,
Ethan,ee20a0a5-eb61-497a-b373-a72cf53f47f0,1,villager  pitchfork * //Haybale Tosser 2F,43310,0,0,0,0,0,0,,,,,lockweapon,small,
Ethan,2cac2691-aed5-4a73-b646-6a882ee1b697,1,villager  pitchfork * // Haybale Tosser 1F,43300,0,0,0,0,0,0,,,,,lockweapon,fodder elite boss,
Ethan,ae8d0d23-6690-4d6a-be6d-bffd5a143f8b,1,villager  pitchfork * // Cog Wheel Reinforcements 0,43300,0,0,0,0,0,0,,,,,,,colmillos super-colmillos big
Ethan,af8fb44e-0b00-4147-8f63-e0ac49d544c6,1,villager  pitchfork * //Cog Wheel Reinforcements 1,43300,0,0,0,0,0,0,,,,,,,colmillos super-colmillos big
Ethan,9dde2bb3-bd1b-4f1a-92c8-fe55980e78d4,1,villager  hatchet * // Cog Wheel Reinforcements 2,43300,0,0,0,0,0,0,,,,,,,colmillos super-colmillos big
Ethan,409a4aad-e036-4fa3-aef0-16d39cce09eb,1,villager  hatchet * // Cog Wheel Reinforcements 3,43300,0,0,0,0,0,0,,,,,,,colmillos super-colmillos big
Ethan,555d5526-4f48-48da-bb1e-8b6e38b88dfa,1,villager  hammer Velvet Blue x1 // Barn Door Smasher,43300,0,0,0,0,0,0,,,,,,,colmillos super-colmillos big
Ethan,c50d4b6f-6f81-4b38-b2cb-3535ddea7bc6,1,villager  machete * // Bridge Enemy,43302,0,0,0,0,0,0,,,,,,climber,
Ethan,9d93c218-a547-4513-87af-48426c7daa57,1,villager  hatchet * // Bridge Enemy,43302,0,0,0,0,0,0,,,,,,climber,
Ethan,4c763a50-db63-4c64-ac28-d1da23b13ee5,1,villager  hoe * // Bridge Enemy,43302,0,0,0,0,0,0,,,,,,climber,
Ethan,5bc4bd86-e148-4270-85bb-7f9131f6558e,1,villager  pitchfork * // Boulder Ambush,43302,0,0,0,0,0,0,,,,,,small,
Ethan,bbd85d12-563e-4d9c-9ee6-079ec7ae5b93,1,villager  hatchet * // Beartrap Destiny Guy,43400,0,0,0,0,0,0,,,,,,fodder elite boss,
Ethan,c94c7ff4-f613-4c57-9edc-090f4c08ed9e,1,villager  dynamite * // Dynamite Guy Wood Fort,43400,0,0,0,0,0,0,,,,,,small,
Ethan,7da8fbc2-663d-4703-8308-7ac68d7a5f05,1,villager  dynamite * // Dynamite House Window Thrower,43411,0,0,0,0,0,0,,,,,,small,
Ethan,5bf5d61d-4338-44a5-975c-7e3b78ad1ff7,1,villager  hoe * // Ladder Guardian,43400,0,0,0,0,0,0,,,,,,fodder elite boss,
Ethan,d8624c4a-25d7-43ba-b545-39d529bb533c,1,villager  hatchet * // Left of Birds Nest,43400,0,0,0,0,0,0,,,,,,elite boss,
Ethan,cb4b8afb-fbf4-4565-bff1-b8d663ef9594,1,villager  hatchet * // Dynamite House Ambush,43411,0,0,0,0,0,0,,,,,,,boss
Ethan,10ebbec3-879d-4115-98fa-bb92fa5d3cc3,1,villager  hatchet * // Under Birds Nest,43400,0,0,0,0,0,0,,,,,,fodder elite boss,
Ethan,616362e3-482e-49ed-bcb1-11eb72ee114a,1,villager  dynamite * // Dynamite Thrower by Luis House,43400,0,0,0,0,0,0,,,,,,fodder elite boss,
Ethan,ac45380d-9056-455f-9057-1a50e96b1eae,1,villager  pitchfork * // Pier Guardian,43400,0,0,0,0,0,0,,,,,,elite boss,
Ethan,53103451-d99a-48b4-a487-058857b4e5b7,1,villager  hoe * // Porch Guardian,43410,0,0,0,0,0,0,,,,,,fodder elite,
Ethan,58367a3d-d456-44ef-8aab-e481393ec3fb,1,villager  hatchet * // Trapdoor guy,43410,0,0,0,0,0,0,,,,,,,boss colmillos super-colmillos arana
Ethan,8a7b4245-b96a-bf68-4c75-778aea239fb3,1,[EXTRA] FARM // Left of Ch5 Cabin Far,43301,47,5,-171,0,0,0,dd9080b0-2a6e-4051-ab11-240d6add1c7d,235d453d-6e24-41d4-be5f-a929971e439e,,,,fodder elite boss,
Ethan,9b2496c5-7ef9-8dfd-4b98-f739ba539166,1,[EXTRA] FARM // Left of Ch5 Cabin Near,43301,39,4,-164,0,0,0,dd9080b0-2a6e-4051-ab11-240d6add1c7d,235d453d-6e24-41d4-be5f-a929971e439e,,,,fodder elite boss,
Ethan,22dac8b8-9255-6015-4d4d-d2cadfe81a4d,1,[EXTRA] FARM // Left of Ch5 Cabin Close,43301,39,4,-155,0,0,0,dd9080b0-2a6e-4051-ab11-240d6add1c7d,235d453d-6e24-41d4-be5f-a929971e439e,,,,fodder elite boss,
Ethan,6e1e06c9-453a-9fff-47ca-91d127d10b1a,1,[EXTRA] LAKE SETTLEMENT // First Bodyblocker in tunnel,43303,146,-6,-119,0,0,0,235d453d-6e24-41d4-be5f-a929971e439e,,,,,small*,
Ethan,bd9831e1-2dfe-ec59-4632-3c5d18cc0c59,1,[EXTRA] LAKE SETTLEMENT // Second Bodyblocker in tunnel,43303,157,-6,-114,0,0,0,235d453d-6e24-41d4-be5f-a929971e439e,,,,,small*,
Ethan,a26ebf20-34a2-e931-4cc9-f4cfe7ebe4b1,1,[EXTRA] LAKE SETTLEMENT HOUSE // Guarding ammo Cupboard,43410,230,-4,-128,0,0,0,235d453d-6e24-41d4-be5f-a929971e439e,,,,,,boss colmillos arana
Ethan,f0f8e593-e48d-b346-4c27-d5d1f47163fd,1,[EXTRA] LAKE SETTLEMENT HOUSE // Guarding small key drawer,43410,228,-4,-131,0,0,0,235d453d-6e24-41d4-be5f-a929971e439e,,,,,,boss colmillos arana
Ethan,9dbdd9c2-85eb-18bb-47b5-a0887f15e59e,1,[EXTRA] LAKE SETTLEMENT HOUSE // Guarding ammo Cupboard 2,43410,238,-4,-125,0,0,0,235d453d-6e24-41d4-be5f-a929971e439e,,,,,,boss* colmillos* arana*
Ethan,86175bf5-e8c7-3aad-495f-64f374d4cf2f,1,[EXTRA] LAKE SETTLEMENT HOUSE // Guarding Luis,43410,255,-7,-143,0,0,0,235d453d-6e24-41d4-be5f-a929971e439e,,,,,,boss* colmillos* arana*
Ethan,09ea044f-52d4-4d8b-818c-c8c833743221,1,cow   . // Inside Small Barn,43300,0,0,0,0,0,0,,,,,,,ashleyunsafe
Ethan,d6435c61-016a-4642-b9ef-ba77cd846689,1,cow   . // Inside Small Barn,43300,0,0,0,0,0,0,,,,,,,ashleyunsafe
Ethan,7636e2b3-5651-4b92-b785-dc694be139c0,1,pig   .,43300,0,0,0,0,0,0,,,,,,,ashleyunsafe
Ethan,83af39cb-c79f-47ce-93db-90bf861e0305,1,pig   .,43300,0,0,0,0,0,0,,,,,,,ashleyunsafe
Ethan,d041f1e4-a079-4877-9fe5-f8fd40e0d848,1,pig   .,43300,0,0,0,0,0,0,,,,,,,ashleyunsafe
Ethan,57a10b46-e53a-460a-9927-eac41a0bdeb7,2,villager  knife * // Entrance To Dynamite Valley,44300,0,0,0,0,0,0,,,,,,small*,
Ethan,f00699a5-ef50-47f3-b5ec-a9570fdce2c0,2,chainsaw   Emerald x1 // Chainsaw Before Tripwire,44101,0,0,0,0,0,0,,,,,,elite boss,
Ethan,284ded3c-7439-40a4-be87-13defa465fb8,2,villager   *,44110,0,0,0,0,0,0,,,,,,,boss colmillos
Ethan,205c1b72-188a-499a-a008-fc53246158bc,2,villager   *,44110,0,0,0,0,0,0,,,,,,,boss colmillos
Ethan,2863e7f0-7742-42a1-a5e4-1e3cd4b07f0f,2,villager  hatchet *,44201,0,0,0,0,0,0,,,,,,,boss garrador invincible
Ethan,86343faa-9b94-4a53-b9e2-989b45bd8ca1,2,villager   *,44201,0,0,0,0,0,0,,,,,,,boss garrador invincible
Ethan,486bb31a-1880-42a3-ae23-f5c19c0c1d69,2,villager  hatchet *,44201,0,0,0,0,0,0,,,,,,,boss garrador invincible
Ethan,1012b7b7-e040-4e08-b7ce-8b617df378f5,2,villager   *,44201,0,0,0,0,0,0,,,,,,,boss garrador invincible
Ethan,27e34e40-4a4c-4fdb-a001-83462f938541,2,villager  hoe *,44201,0,0,0,0,0,0,,,,,,,boss invincible
Ethan,,2,[EXTRA] CLEARING // Spawn under treasure lantern,44101,-10,6,134,0,0,0,ae0a629e-f606-423b-b6a6-35ea820a31fc,62573b29-936b-444c-83d6-45f6a0983c0d,,,,elite boss,
Ethan,,2,[EXTRA] CLEARING // Next to Pendant Well,44101,-19,6,128,0,0,0,ae0a629e-f606-423b-b6a6-35ea820a31fc,62573b29-936b-444c-83d6-45f6a0983c0d,,,,small,
Ethan,,2,[EXTRA] CLEARING // Hiding in Shack,44101,-20,5,140,0,0,0,ae0a629e-f606-423b-b6a6-35ea820a31fc,62573b29-936b-444c-83d6-45f6a0983c0d,,,,small,
Ethan,,2,[EXTRA] MENDEZ HOUSE // Guarding Bird nest,44101,-4,9,102,0,0,0,75c22cee-95ca-4cc4-96e8-11d22f4870d4,62573b29-936b-444c-83d6-45f6a0983c0d,,,,small,
Ethan,,2,[EXTRA] MENDEZ HOUSE // Left of House Close,44101,-9,8,94,0,0,0,75c22cee-95ca-4cc4-96e8-11d22f4870d4,62573b29-936b-444c-83d6-45f6a0983c0d,,,,small,
Ethan,,2,[EXTRA] MENDEZ HOUSE // Left of House Far,44101,4,9,89,0,0,0,75c22cee-95ca-4cc4-96e8-11d22f4870d4,62573b29-936b-444c-83d6-45f6a0983c0d,,,,small,
Ethan,,2,[EXTRA] MENDEZ HOUSE // Fly My Pretty,44110,3,9,97,0,0,0,75c22cee-95ca-4cc4-96e8-11d22f4870d4,62573b29-936b-444c-83d6-45f6a0983c0d,,,,small,
Ethan,,2,[EXTRA] MENDEZ HOUSE // Key Item Wardrobe Guardian,44110,11,9,108,0,0,0,75c22cee-95ca-4cc4-96e8-11d22f4870d4,62573b29-936b-444c-83d6-45f6a0983c0d,,,,small*,
Ethan,,2,[EXTRA] MENDEZ HOUSE // Dining Room,44110,6,9,102,0,0,0,75c22cee-95ca-4cc4-96e8-11d22f4870d4,62573b29-936b-444c-83d6-45f6a0983c0d,,,,small,
Ethan,,2,[EXTRA] MENDEZ HOUSE // Mendez Room,44110,5,13,106,0,0,0,75c22cee-95ca-4cc4-96e8-11d22f4870d4,62573b29-936b-444c-83d6-45f6a0983c0d,,,,small,
Ethan,85850656-bb05-4152-ac1d-cc069d4995fb,2,villager  hatchet Kitchen Knife x1 // First Enemy Factory,44210,0,0,0,0,0,0,,,,,,,big colmillos super-colmillos
Ethan,cd744af1-6b44-4f37-a88e-944d56d34ac0,2,villager  hatchet it_sm71_500_10_0 x1 // Parry Example Enemy Factory,44210,0,0,0,0,0,0,,,,,,,big colmillos super-colmillos
Ethan,cc9144a7-2c67-4ffa-9a9d-44dd47cddb94,2,villager  pitchfork Pesetas x250 // Long Hallway Enemy Factory,44210,0,0,0,0,0,0,,,,,,,big colmillos super-colmillos
Ethan,4f0940a5-66cc-4866-ada8-271a7ea83f74,2,villager   *,44400,0,0,0,0,0,0,,,,,,small,
Ethan,28e02bee-815f-4c2a-959a-45bdfc9bdc6a,2,villager  dynamite *,44400,0,0,0,0,0,0,,,,,,small,
Ethan,03625e3c-16cb-4abf-b52d-6a66dec3f86b,2,villager   *,44400,0,0,0,0,0,0,,,,,,small,
Ethan,2a93f207-3a81-4503-88d2-f1f0d4987754,2,villager  machete *,44400,0,0,0,0,0,0,,,,,,small,
Ethan,363a704a-6e33-4d4a-8ec1-6c64d4aeae6c,2,villager  hatchet * // Guy in the Sky,44400,0,0,0,0,0,0,,,,,ranged horde,,
Ethan,30d11b67-d545-4eb0-a5d2-8563d2cc2b5e,2,villager  hoe *,44400,0,0,0,0,0,0,,,,,,fodder elite,
Ethan,980885df-eaf7-42e4-9ec5-1944bf49870e,2,villager   * [REINFORCEMENTS],44400,0,0,0,0,0,0,,,,,,climber,
Ethan,d1c3128c-ac1b-4179-9c97-9c27719bdf55,2,villager  dynamite * [REINFORCEMENTS],44400,0,0,0,0,0,0,,,,,,climber,
Ethan,48d142d1-015c-444e-a9a6-295fab788789,2,villager  pitchfork * [REINFORCEMENTS],44400,0,0,0,0,0,0,,,,,,climber,
Ethan,08f9d8f5-a37e-45f8-bf52-20c1c5137254,2,villager  dynamite * [REINFORCEMENTS],44400,0,0,0,0,0,0,,,,,,climber,
Ethan,509e2bfc-a268-491e-a7f3-0b4e2e0ca339,2,villager  pitchfork * [REINFORCEMENTS],44400,0,0,0,0,0,0,,,,,,climber,
