Pool,Count1_Min,Count1_Max,Item1,Count2_Min,Count2_Max,Item2,OutputCount_Min,OutputCount_Max,OutputItem,Comment
AlwaysEnabled,1,1,Strong Chem Fluid,1,1,Strong Chem Fluid,1,1,Acid Powder,BioRand 7 | Activates unused item Acid Powder
Chaos,1,1,Supplements,1,1,Acid Powder,1,1,Flame Rounds,BioRand 7 | Chaos Pool
Chaos,1,1,Strong First Aid Med,1,1,Separating Agent,1,1,Chem Fluid,BioRand 7 | Chaos Pool
Chaos,1,1,First Aid Med,1,1,Strong Chem Fluid,1,1,Strong First Aid Med,BioRand 7 | Chaos Pool
Chaos,1,1,Remote Bomb,1,1,Chem Fluid,2,2,44 MAG Ammo,BioRand 7 | Chaos Pool
Chaos,1,1,Remote Bomb,1,1,Weak Acid,4,4,44 MAG Ammo,BioRand 7 | Chaos Pool
Chaos,2,2,Machine Gun Ammo,1,1,Gunpowder,10,10,Handgun Ammo,BioRand 7 | Chaos Pool
Chaos,1,1,Acid Powder,1,1,Strong Chem Fluid,4,4,Neuro Rounds,BioRand 7 | Chaos Pool
Chaos,1,1,Weak Acid,1,1,Strong Chem Fluid,6,6,Flame Rounds,BioRand 7 | Chaos Pool
Chaos,1,1,44 MAG Ammo,10,10,Enhanced Handgun Ammo,1,1,Stabilizer,BioRand 7 | Chaos Pool
Crazy,1,1,Leg,1,1,Acid Powder,2,2,Strong Chem Fluid,BioRand 7 | Crazy Pool
Crazy,1,1,Burner Grip,1,1,Derelict House Footage,1,1,Driver's License,BioRand 7 | Crazy Pool
Crazy,1,1,Axe,1,1,Stabilizer,1,1,Psychostimulants,BioRand 7 | Crazy Pool
Crazy,1,1,Driver's License,1,1,Mia,1,1,Strong Chem Fluid,BioRand 7 | Crazy Pool
Crazy,1,1,Derelict House Footage,1,1,Weak Acid,1,1,Flame Rounds,BioRand 7 | Crazy Pool
Crazy,1,1,Mia,1,1,Neuro Rounds,1,1,Happy Birthday,BioRand 7 | Crazy Pool
Crazy,1,1,Happy Birthday,1,1,Chilled Chem Fluid,1,1,Acid Powder,BioRand 7 | Crazy Pool
Crazy,1,1,Strong Chem Fluid,1,1,Psychostimulants,1,1,Burner Grip,BioRand 7 | Crazy Pool
Crazy,1,1,Flame Rounds,1,1,Car Key,1,1,Axe,BioRand 7 | Crazy Pool
Crazy,1,1,Neuro Rounds,1,1,Happy Birthday,1,1,Crowbar,BioRand 7 | Crazy Pool
Crazy,1,1,Crowbar,1,1,Burner Grip,1,1,Stabilizer,BioRand 7 | Crazy Pool
Crazy,1,1,Chilled Chem Fluid,1,1,Flame Rounds,1,1,Weak Acid,BioRand 7 | Crazy Pool
Crazy,1,1,Weak Acid,1,1,Axe,1,1,Leg,BioRand 7 | Crazy Pool
Crazy,1,1,Acid Powder,1,1,Assault Coin,1,1,Derelict House Footage,BioRand 7 | Crazy Pool
Crazy,1,1,Psychostimulants,1,1,Crowbar,1,1,Chilled Chem Fluid,BioRand 7 | Crazy Pool
Crazy,1,1,Dirty Coin,1,1,Dirty Coin,1,1,Dirty Coin,BioRand 7 | Crazy Pool
Crazy,1,1,Car Key,1,1,Driver's License,1,1,Assault Coin,BioRand 7 | Crazy Pool
Crazy,1,1,Assault Coin,1,1,Leg,3,3,Neuro Rounds,BioRand 7 | Crazy Pool
Crazy,1,1,Albert-01R,1,1,Acid Powder,1,1,Herb,BioRand 7 | Crazy Pool
Crazy,1,1,MPM Handgun,1,1,Separating Agent,10,10,Gunpowder,BioRand 7 | Crazy Pool
Crazy,2,2,44 MAG Ammo,1,1,Separating Agent,50,50,Machine Gun Ammo,BioRand 7 | Crazy Pool
