SceneFile,Label,MaxEnemies,Comment
natives/stm/scenes/loadtempscene/loadtemp_chapter1.scn.20,,0,Non-environment controller/helper scene
natives/stm/environment/scene/chapter3/c03_gardenarea1.scn.20,Main House - Yard,99,Large or combat-capable area
natives/stm/environment/scene/chapter3/c03_gardenarea1sub01.scn.20,Terrain,99,Large or combat-capable area
natives/stm/environment/scene/chapter3/c03_gardenarea1sub02.scn.20,Terrain,99,Large or combat-capable area
natives/stm/environment/scene/chapter3/c03_gardenarea1sub03.scn.20,Terrain,99,Large or combat-capable area
natives/stm/environment/scene/chapter3/c03_gardenareaboat01.scn.20,Terrain,99,Large or combat-capable area
natives/stm/environment/scene/chapter3/c03_gardenareaboat02.scn.20,Terrain,99,Large or combat-capable area
natives/stm/environment/scene/chapter3/c03_gh1fentrance01.scn.20,Green House / Exit,5,Default playable area
natives/stm/environment/scene/chapter3/c03_gh1fentrance02.scn.20,Green House / 1F / Ladder,5,Default playable area
natives/stm/environment/scene/chapter3/c03_gh1fhallway01.scn.20,Green House / 1F / Corridor,5,Connector or medium area
natives/stm/environment/scene/chapter3/c03_gh1flowerroom01.scn.20,Green House / 1F / Yard,99,Large or combat-capable area
natives/stm/environment/scene/chapter3/c03_gh1froom01.scn.20,Green House / 1F / Room 1,1,Small room
natives/stm/environment/scene/chapter3/c03_gh1froom02.scn.20,Green House / 1F / Room 2,1,Small room
natives/stm/environment/scene/chapter3/c03_gh1froom03.scn.20,Green House / 1F / Room 3,1,Small room
natives/stm/environment/scene/chapter3/c03_gh1fstairs01.scn.20,Green House / 1F / Stairs / Marge Trigger,5,Connector or medium area
natives/stm/environment/scene/chapter3/c03_gh2fhallway01.scn.20,Green House / 2F / Stairs,5,Connector or medium area
natives/stm/environment/scene/chapter3/c03_gh2froom01.scn.20,Green House / 1F / Room 1,1,Small room
natives/stm/environment/scene/chapter3/c03_gh2fsaferoom01.scn.20,Green House / 2F / Entrance / Loot,5,Connector or medium area
natives/stm/environment/scene/chapter3/c03_gh2fsaferoom02.scn.20,Green House / 2F / Entrance / Hole,5,Connector or medium area
natives/stm/environment/scene/chapter3/c03_gh2fterrace01.scn.20,Green House / 2F / Terrace,5,Default playable area
natives/stm/environment/scene/chapter3/c03_ghinsidelow01.scn.20,,0,Environment support scene
natives/stm/environment/scene/chapter3/c03_ghoutside01.scn.20,Green House / Exterior,99,Large or combat-capable area
natives/stm/environment/scene/chapter3/c03_ghoutsidegarden.scn.20,Green House / Exterior Yard,99,Large or combat-capable area
natives/stm/environment/scene/chapter3/c03_leftarea1fbackstage.scn.20,Testing Area / 2F / Backstage,5,Default playable area
natives/stm/environment/scene/chapter3/c03_leftarea1fhallway.scn.20,Testing Area / 2F / Staircase down,5,Connector or medium area
natives/stm/environment/scene/chapter3/c03_leftarea1fmonitorroom.scn.20,Testing Area / 1F / Monitor Room,1,Small room
natives/stm/environment/scene/chapter3/c03_leftarea1fpuzzleroom1.scn.20,Testing Area / 1F / Puzzle Room 1,1,Small room
natives/stm/environment/scene/chapter3/c03_leftarea1fpuzzleroom2.scn.20,Testing Area / 1F / Puzzle Room 2,1,Small room
natives/stm/environment/scene/chapter3/c03_leftarea1fpuzzleroomballoon.scn.20,Testing Area / 1F / Puzzle Room 2 / Balloons,1,Small room
natives/stm/environment/scene/chapter3/c03_leftarea1ftraproom.scn.20,Testing Area / 1F / Puzzle Room Entrance / Trap,5,Connector or medium area
natives/stm/environment/scene/chapter3/c03_leftarea2fhallway.scn.20,Testing Area / 2F / Corridor,5,Connector or medium area
natives/stm/environment/scene/chapter3/c03_leftarea2froom1.scn.20,Testing Area / 2F / Room 1,1,Small room
natives/stm/environment/scene/chapter3/c03_leftarea2froom2.scn.20,Testing Area / 2F / Room 2,1,Small room
natives/stm/environment/scene/chapter3/c03_leftarea2ftvroom.scn.20,Testing Area / 2F / TV Room,1,Small room
natives/stm/environment/scene/chapter3/c03_mainhouse1fgarage.scn.20,Main House / 1F / Garage,5,Connector or medium area
natives/stm/environment/scene/chapter3/c03_mainhouse1fgaragehallway.scn.20,Main House  / 1F / Garage Entrance,5,Connector or medium area
natives/stm/environment/scene/chapter3/c03_mainhouse1fgarageoutside.scn.20,Main House  / 1F / Garage Outside,99,Large or combat-capable area
natives/stm/environment/scene/chapter3/c03_mainhouse1fhallway.scn.20,Main House  / 1F / Main Hallway,5,Connector or medium area
natives/stm/environment/scene/chapter3/c03_mainhouse1fldk.scn.20,Main House  / 1F / Dining Room / Kitchen,1,Small room
natives/stm/environment/scene/chapter3/c03_mainhouse1fliving.scn.20,Main House  / 1F / Living Room / Pendulum,1,Small room
natives/stm/environment/scene/chapter3/c03_mainhouse1fpantry.scn.20,Main House  / 1F / Pantry / Hatch,5,Connector or medium area
natives/stm/environment/scene/chapter3/c03_mainhouse1fwash.scn.20,Main House  / 1F / Laundry / Safe Room,0,Safe or hub scene
natives/stm/environment/scene/chapter3/c03_mainhouse2fbath.scn.20,Main House / 2F / Bathroom,1,Small room
natives/stm/environment/scene/chapter3/c03_mainhouse2fbedroom.scn.20,Main House / 2F / Bedroom / Clock Puzzle,1,Small room
natives/stm/environment/scene/chapter3/c03_mainhouse2fgrandma.scn.20,Main House / 2F / Grandma's Room / Shotgun,1,Small room
natives/stm/environment/scene/chapter3/c03_mainhouse2fhallway.scn.20,Main House / 2F / Corridor 1 / Both Molded and Non-Molded,5,Connector or medium area
natives/stm/environment/scene/chapter3/c03_mainhouse2fhallway2.scn.20,Main House / 2F / Corridor 2,5,Connector or medium area
natives/stm/environment/scene/chapter3/c03_mainhouse2fkids.scn.20,Main House / 2F / Lucas' teenage room,1,Small room
natives/stm/environment/scene/chapter3/c03_mainhouse2fkids02.scn.20,Main House / 2F / Lucas' teenage room / Attic,1,Small room
natives/stm/environment/scene/chapter3/c03_mainhouse2fplay.scn.20,Main House / 2F / Play Room,1,Small room
natives/stm/environment/scene/chapter3/c03_mainhouse2fstoreroom.scn.20,Main House / 2F / Storage Room,1,Small room
natives/stm/environment/scene/chapter3/c03_mainhousefakeset01.scn.20,Main House / Fake Set,5,Default playable area
natives/stm/environment/scene/chapter3/c03_mainhousehall.scn.20,Main House / Hall,99,Large or combat-capable area
natives/stm/environment/scene/chapter3/c03_mainhousestair01.scn.20,Main House / 2F / Stair leading to basement,5,Connector or medium area
natives/stm/environment/scene/chapter3/c03_mainhousoutside.scn.20,Main House / Exterior,99,Large or combat-capable area
natives/stm/environment/scene/chapter3/c03_mainhousoutsidesub01.scn.20,Main House / Exterior / Windows,99,Large or combat-capable area
natives/stm/environment/scene/chapter3/c03_mainhousoutsideterrace1f.scn.20,Main House / 1F / Terrace,5,Default playable area
natives/stm/environment/scene/chapter3/c03_mainhousoutsideterrace2f.scn.20,Main House / 2F / Terrace,5,Default playable area
natives/stm/environment/scene/chapter3/c03_mainhousoutsideterrace2f2.scn.20,Main House / 2F / Terrace,5,Default playable area
natives/stm/environment/scene/chapter3/c03_mainhousoutsideterrace2f3.scn.20,Main House / Stairs leading to Testing Area / Keycards,5,Connector or medium area
natives/stm/environment/scene/chapter3/c03_oldhouse1fbridge01.scn.20,Old House / Entrance Bridge,99,Large or combat-capable area
natives/stm/environment/scene/chapter3/c03_oldhouse1fbridge02.scn.20,Old House / 1F / Bridges at the back,99,Large or combat-capable area
natives/stm/environment/scene/chapter3/c03_oldhouse1fbridgestorag01.scn.20,Old House / 1F / Bridges / Storage Room,99,Large or combat-capable area
natives/stm/environment/scene/chapter3/c03_oldhouse1fbridgewc01.scn.20,Old House / 1F / Bridges /Toilet,99,Large or combat-capable area
natives/stm/environment/scene/chapter3/c03_oldhouse1fentrance01.scn.20,Old House / 1F / Entrance,5,Connector or medium area
natives/stm/environment/scene/chapter3/c03_oldhouse1fhallway01.scn.20,Old House / 1F / Corridor,5,Connector or medium area
natives/stm/environment/scene/chapter3/c03_oldhouse1fhole01.scn.20,Old House / 1F / Hole Area / Crank,5,Default playable area
natives/stm/environment/scene/chapter3/c03_oldhouse1fhollway01.scn.20,Old House / 1F / Staircase / Lucas abducts Mia,5,Connector or medium area
natives/stm/environment/scene/chapter3/c03_oldhouse1fkitchen01.scn.20,Old House / 1F / Kitchen,1,Small room
natives/stm/environment/scene/chapter3/c03_oldhouse1fpuzzle01.scn.20,Old House / 1F / Shadow Puzzle Room,1,Small room
natives/stm/environment/scene/chapter3/c03_oldhouse1froom01.scn.20,Old House / 1F / Room to the right / Insect Nest,1,Small room
natives/stm/environment/scene/chapter3/c03_oldhouse1froom02.scn.20,Old House / 1F / Room to the left,1,Small room
natives/stm/environment/scene/chapter3/c03_oldhouse1fstairs01.scn.20,Old House / 1F / Altar / D-Series Arm,5,Default playable area
natives/stm/environment/scene/chapter3/c03_oldhouse1fstorage.scn.20,Old House / 1F / Storage Room / Unused?,1,Small room
natives/stm/environment/scene/chapter3/c03_oldhouse1funderfloor01.scn.20,Old House / 1F / Underground Tunnel / Crank,5,Connector or medium area
natives/stm/environment/scene/chapter3/c03_oldhouse1fwallinside01.scn.20,Old House / 1F / Centipide Wall,5,Default playable area
natives/stm/environment/scene/chapter3/c03_oldhouse2fbedroom.scn.20,Old House / 2F / Bedroom,1,Small room
natives/stm/environment/scene/chapter3/c03_oldhouse2fhallway02.scn.20,Old House / 2F / Corridor / D-Series Case,5,Connector or medium area
natives/stm/environment/scene/chapter3/c03_oldhouse2fhallway03.scn.20,Old House / 2F / Corridor / Lantern Placement,5,Connector or medium area
natives/stm/environment/scene/chapter3/c03_oldhouse2fhallway04.scn.20,Old House / 2F / Corridor / After first lantern door,5,Connector or medium area
natives/stm/environment/scene/chapter3/c03_oldhouse2fkidsroom01.scn.20,Old House / 2F / Child's room / Alligator,1,Small room
natives/stm/environment/scene/chapter3/c03_oldhouse2fkidsroom02.scn.20,Old House / 2F / Child's room / Toys,1,Small room
natives/stm/environment/scene/chapter3/c03_oldhouse2fstudy01.scn.20,Old House / 2F / Moldy study room,1,Small room
natives/stm/environment/scene/chapter3/c03_oldhousecave01.scn.20,Old House / Tunnel / Mutated Marge,5,Connector or medium area
natives/stm/environment/scene/chapter3/c03_oldhouseoutside.scn.20,Old House / Exterior,99,Large or combat-capable area
natives/stm/environment/scene/chapter3/c03_oldhousesaferoom01.scn.20,Old House / Bridges / Safe Room,0,Safe or hub scene
natives/stm/environment/scene/chapter3/c03_rightarea1fhallway1.scn.20,Main House / 1F / Right Side Corridor / Scorpion Key,5,Connector or medium area
natives/stm/environment/scene/chapter3/c03_rightarea1fhallway2.scn.20,Main House / 1F / Right Side Corridor/ Staircase leading to basement,5,Connector or medium area
natives/stm/environment/scene/chapter3/c03_rightarea1fmonitorroom.scn.20,Main House / 1F / Moldy Monitor Room,1,Small room
natives/stm/environment/scene/chapter3/c03_rightarea1foffice.scn.20,Main House / 1F / Office / Unused?,1,Small room
natives/stm/environment/scene/chapter3/c03_rightarea1fopeninghallway.scn.20,Main House / 1F / Wall after Shadow Puzzle,5,Default playable area
natives/stm/environment/scene/chapter3/c03_rightarea1fparlor.scn.20,Main House / 1F / Right Side Parlor,5,Default playable area
natives/stm/environment/scene/chapter3/c03_rightarea1fstorageroom.scn.20,Main House / 1F / Right Side Storage Room,1,Small room
natives/stm/environment/scene/chapter3/c03_rightarea1fstudy.scn.20,Main House / 1F / Safe Room,0,Safe or hub scene
natives/stm/environment/scene/chapter3/c03_rightareab1ffreezer.scn.20,Main House / B / Jack 2,99,Large or combat-capable area
natives/stm/environment/scene/chapter3/c03_rightareab1fhallway1.scn.20,Main House / B / Corridor / After going down,5,Connector or medium area
natives/stm/environment/scene/chapter3/c03_rightareab1fhallway2.scn.20,Main House / B / Corridor / Workshop / Green barrier,5,Connector or medium area
natives/stm/environment/scene/chapter3/c03_rightareab1fhallway3.scn.20,Main House / B / Staircase / Snake key,5,Connector or medium area
natives/stm/environment/scene/chapter3/c03_rightareab1fhallway4.scn.20,Main House / B / Corridor / Jack Cutscene,5,Connector or medium area
natives/stm/environment/scene/chapter3/c03_rightareab1fmoldedcreationroom.scn.20,Main House / B / Molded Creation Room / Bath tubs,1,Small room
natives/stm/environment/scene/chapter3/c03_rightareab1fmorgue.scn.20,Main House / B / Morgue / Dissection Room Key,1,Small room
natives/stm/environment/scene/chapter3/c03_rightareab1fpowerroom.scn.20,Main House / B / Carcasses / Red Keycard,5,Default playable area
natives/stm/environment/scene/chapter3/c03_rightareab1fstorageroom1.scn.20,Main House / B / Electricity Room / Four-Legged Moldeds,1,Small room
natives/stm/environment/scene/chapter3/c03_rightareab1fstorageroom2.scn.20,Main House / B / Storage Room / Scorpion Key / Treasure Photo,1,Small room
natives/stm/environment/scene/chapter3/c03_rightareab1fstoreroom.scn.20,Main House / B / Police Officer's body / Snake Key,1,Small room
natives/stm/environment/scene/chapter3/c03_trailerhouse.scn.20,Yard / Trailer,99,Large or combat-capable area
natives/stm/environment/scene/chapter4/c04_c012f.scn.20,Guest House / 2F / Stairs up,10,Connector or medium area
natives/stm/environment/scene/chapter4/c04_c013f.scn.20,Guest House / 3F / Evie,5,Default playable area
natives/stm/environment/scene/chapter4/c04_c01b1h.scn.20,Guest House / B / Corridor,10,Connector or medium area
natives/stm/environment/scene/chapter4/c04_c01b1i.scn.20,Guest House / B / Mia Wall Break,5,Default playable area
natives/stm/environment/scene/chapter4/c04_c01b1j.scn.20,Guest House / B / Staircase,10,Connector or medium area
natives/stm/environment/scene/chapter4/c04_c01bathroom01.scn.20,Guest House / 1F / Bathroom,1,Small room
natives/stm/environment/scene/chapter4/c04_c01corridor01.scn.20,Guest House / 1F / Corridor / Ethan threatens Evie,10,Connector or medium area
natives/stm/environment/scene/chapter4/c04_c01corridor02.scn.20,Guest House / 1F / Corridor at the back,10,Connector or medium area
natives/stm/environment/scene/chapter4/c04_c01corridor03.scn.20,Guest House / 1F / Corridor / Mia Flashback,10,Connector or medium area
natives/stm/environment/scene/chapter4/c04_c01kitchen01.scn.20,Guest House / 1F / Kitchen,1,Small room
natives/stm/environment/scene/chapter4/c04_c01living01.scn.20,Guest House / 1F / Living Room,1,Small room
natives/stm/environment/scene/chapter4/c04_c01outside01.scn.20,Guest House / Skybox,5,Default playable area
natives/stm/environment/scene/chapter4/c04_c01outside10.scn.20,Terrain,99,Large or combat-capable area
natives/stm/environment/scene/chapter4/c04_c01outside11.scn.20,Terrain,99,Large or combat-capable area
natives/stm/environment/scene/chapter4/c04_c01outsideb.scn.20,Terrain,99,Large or combat-capable area
natives/stm/environment/scene/chapter4/c04_c01storeroom01.scn.20,Guest House / 1F / Store Room / Unused?,1,Small room
natives/stm/environment/scene/chapter4/c04_cave01.scn.20,Salt Mine / B3 / Cavern,99,Large or combat-capable area
natives/stm/environment/scene/chapter4/c04_cave02.scn.20,Salt Mine / B3 / Tunnels,99,Large or combat-capable area
natives/stm/environment/scene/chapter4/c04_cave03.scn.20,Salt Mine / B3 / North Cavern,99,Large or combat-capable area
natives/stm/environment/scene/chapter4/c04_cave04.scn.20,Salt Mine / B3 / Flooded Cavern,99,Large or combat-capable area
natives/stm/environment/scene/chapter4/c04_caveev01.scn.20,Salt Mine / Elevator,99,Large or combat-capable area
natives/stm/environment/scene/chapter4/c04_caveev02.scn.20,Salt Mine / B1 / Small Passage,99,Large or combat-capable area
natives/stm/environment/scene/chapter4/c04_caveev03.scn.20,Salt Mine / B1 / Exit Passage,99,Large or combat-capable area
natives/stm/environment/scene/chapter4/c04_cavehall.scn.20,,0,Environment support scene
natives/stm/environment/scene/chapter4/c04_cavemine.scn.20,Salt Mine / B1 / Abandoned Mine / Fat Moldeds,99,Large or combat-capable area
natives/stm/environment/scene/chapter4/c04_cavepassage01.scn.20,Salt Mine / B3 / Tunnel,99,Large or combat-capable area
natives/stm/environment/scene/chapter4/c04_cavepassage02.scn.20,Salt Mine / B3 / Tunnel,99,Large or combat-capable area
natives/stm/environment/scene/chapter4/c04_cavepassage03.scn.20,Salt Mine / B3 / Tunnel / Mine Car,99,Large or combat-capable area
natives/stm/environment/scene/chapter4/c04_cavepassage04.scn.20,Salt Mine / B3 / Tunnel,99,Large or combat-capable area
natives/stm/environment/scene/chapter4/c04_cavepassage05.scn.20,Salt Mine / B3 / Cultivation Room / Serum,99,Large or combat-capable area
natives/stm/environment/scene/chapter4/c04_cottage.scn.20,Swamp / Mine Office,99,Large or combat-capable area
natives/stm/environment/scene/chapter4/c04_cottageswamp01.scn.20,Swamp / Dead Fish,99,Large or combat-capable area
natives/stm/environment/scene/chapter4/c04_cottageswamp02.scn.20,Swamp / Mine Entrance Path,99,Large or combat-capable area
natives/stm/environment/scene/chapter4/c04_mainhouse1flivingjack.scn.20,Main House / 1F / Living Room,1,Small room
natives/stm/environment/scene/chapter4/c04_outsidepastfront.scn.20,Ship / Deck,5,Default playable area
natives/stm/environment/scene/chapter4/c04_ship1fcabina.scn.20,Wrecked Ship / 1F / Recreation Room,1,Small room
natives/stm/environment/scene/chapter4/c04_ship1fcabinb.scn.20,Wrecked Ship / 1F / Cabin,5,Default playable area
natives/stm/environment/scene/chapter4/c04_ship1fcorridor.scn.20,Wrecked Ship / 1F / Corridor,10,Connector or medium area
natives/stm/environment/scene/chapter4/c04_ship1flaundry.scn.20,Wrecked Ship / 1F / Laundry Room,10,Connector or medium area
natives/stm/environment/scene/chapter4/c04_ship1foffice.scn.20,Wrecked Ship / 1F / Maintenance Room / Safe Room,1,Safe or hub scene
natives/stm/leveldesign/aimap/chapter3/safezone_c03.scn.20,,0,Non-environment controller/helper scene
natives/stm/scenes/chapter/chapter3.scn.20,,0,Non-environment controller/helper scene
natives/stm/scenes/chapter/chapter3/aimap_c03_1.scn.20,,0,Non-environment controller/helper scene
natives/stm/scenes/chapter/chapter3/aimap_c03_2.scn.20,,0,Non-environment controller/helper scene
natives/stm/scenes/chapter/chapter3/aimap_c03_3.scn.20,,0,Non-environment controller/helper scene
natives/stm/scenes/chapter/chapter3/aimap_c03_4.scn.20,,0,Non-environment controller/helper scene
natives/stm/scenes/chapter/chapter3/aimap_c03_5.scn.20,,0,Non-environment controller/helper scene
natives/stm/scenes/chapter/chapter3/c03_1_deactivate_dinnerafter.scn.20,,0,Non-environment controller/helper scene
natives/stm/scenes/chapter/chapter3/c03_cullingcollision.scn.20,,0,Non-environment controller/helper scene
natives/stm/scenes/chapter/chapter3/c03_cullingcollisionboathouse.scn.20,,0,Non-environment controller/helper scene
natives/stm/scenes/chapter/chapter3/c03_cullingcollisioncowshed.scn.20,,0,Non-environment controller/helper scene
natives/stm/scenes/chapter/chapter3/c03_cullingcollisiongareden.scn.20,,0,Non-environment controller/helper scene
natives/stm/scenes/chapter/chapter3/c03_cullingcollisiongh.scn.20,,0,Non-environment controller/helper scene
natives/stm/scenes/chapter/chapter3/c03_cullingcollisionlucasarea.scn.20,,0,Non-environment controller/helper scene
natives/stm/scenes/chapter/chapter3/c03_cullingcollisionmainhouse.scn.20,,0,Non-environment controller/helper scene
natives/stm/scenes/chapter/chapter3/c03_cullingcollisionoldhouse.scn.20,,0,Non-environment controller/helper scene
natives/stm/scenes/chapter/chapter3/c03_cullingcollisiontaxidermyroom.scn.20,,0,Non-environment controller/helper scene
natives/stm/scenes/chapter/chapter3/c03_loadcollision.scn.20,,0,Non-environment controller/helper scene
natives/stm/scenes/chapter/chapter3/c03_soft_1.scn.20,,0,Non-environment controller/helper scene
natives/stm/scenes/chapter/chapter3/c03_soft_2.scn.20,,0,Non-environment controller/helper scene
natives/stm/scenes/chapter/chapter3/c03_soft_3.scn.20,,0,Non-environment controller/helper scene
natives/stm/scenes/chapter/chapter3/c03_soft_4.scn.20,,0,Non-environment controller/helper scene
natives/stm/scenes/chapter/chapter3/c03_soft_5.scn.20,,0,Non-environment controller/helper scene
natives/stm/scenes/chapter/chapter3/c03_souko.scn.20,,0,Non-environment controller/helper scene
natives/stm/scenes/chapter/chapter3/chapter3_2/hard.scn.20,,0,Non-environment controller/helper scene
natives/stm/scenes/chapter/chapter3/chapter3_3/hard.scn.20,,0,Non-environment controller/helper scene
natives/stm/scenes/chapter/chapter3/chapter3_4/hard.scn.20,,0,Non-environment controller/helper scene
natives/stm/scenes/chapter/chapter3/mansionai_c03_2.scn.20,,0,Non-environment controller/helper scene
natives/stm/scenes/chapter/chapter3/mansoinai_c03_1.scn.20,,0,Non-environment controller/helper scene
natives/stm/scenes/loadtempscene/loadtemp_chapter3.scn.20,,0,Non-environment controller/helper scene
natives/stm/environment/scene/chapter4/c04_ship1fshaft.scn.20,Wrecked Ship / 1F / Shaft,10,Connector or medium area
natives/stm/environment/scene/chapter4/c04_ship1fstairs.scn.20,Wrecked Ship / S1 / Stairwell / After Evie Appearance,10,Connector or medium area
natives/stm/environment/scene/chapter4/c04_ship1fwarehousea.scn.20,Wrecked Ship / 1F / Storage,1,Small room
natives/stm/environment/scene/chapter4/c04_ship1fwarehouseb.scn.20,Wrecked Ship / 1F / Storage,1,Small room
natives/stm/environment/scene/chapter4/c04_ship2fcabina.scn.20,Wrecked Ship / 2F / Bunk Room,1,Small room
natives/stm/environment/scene/chapter4/c04_ship2fcabinapast.scn.20,Ship / 2F / Bunk Room Past,1,Small room
natives/stm/environment/scene/chapter4/c04_ship2fcabinmia.scn.20,Wrecked Ship / 2F / Guest Room / Safe Room,1,Safe or hub scene
natives/stm/environment/scene/chapter4/c04_ship2fcabinmiapast.scn.20,Ship / 2F / Guest Room Past,1,Small room
natives/stm/environment/scene/chapter4/c04_ship2fcorridorc.scn.20,Wrecked Ship / 2F / Corridor,10,Connector or medium area
