Id,Name,CategoryType,Size,IsUnlockable,Dlc,MaxStack,WeaponId,CanStoreInItemBox,DeveloperComment
CylinderKey,Lock Pick,DiscardableKeyItem,Slot1,False,,20,,True,
SkinnyDoll,Straw Doll,KeyItem,Slot1,False,,1,,True,
ScrewFinger,Dummy Finger,KeyItem,Slot1,False,,1,,True,
Quill,Quill Pen,KeyItem,Slot1,False,,1,,True,
SerumMaterialB,D-Series Head,KeyItem,Slot1,False,,1,,True,
Valve,Valve Handle,KeyItem,Slot1,False,,1,,True,
MasterKey,Snake Key,KeyItem,Slot1,False,,1,,True,3-4で取る「最後の鍵」「マスターキー」
SpareKey,Corrosive,KeyItem,Slot1,False,,10,,True,溶解剤(旧スペアキー)
Timebomb,Time Bomb,KeyItem,Slot1,False,,1,,True,"ルーカスパズルタイマー爆弾
"
TreasureMap02,Treasure Photo,DiscardableKeyItem,Slot1,False,,1,,True,宝の地図02(合体後)
TreasureMap03,Treasure Photo,DiscardableKeyItem,Slot1,False,,1,,True,"宝の地図03(合体後)
"
DybbukMedicine,Serum,KeyItem,Slot1,False,,1,,True,"血清
"
EthanCarKey,Car Key,DiscardableKeyItem,Slot1,False,,1,,True,イーサンの車のカギ
EthanLeg,Leg,KeyItem,Slot1,False,,1,,True,イーサンの足
BookDefence01,The Secrets of Defense,KeyItem,Slot1,False,,1,,True,防御の極意
BookDefence02,The Essence of Defense,KeyItem,Slot1,False,,1,,True,防御の神髄
AlphaGrass,X-ray Glasses,KeyItem,Slot1,False,,1,,True,透視メガネ
EasyBoots,Walking Shoes,KeyItem,Slot1,False,,1,,True,歩きやすい靴
UnlimitedAmmo,Infinite Ammo,KeyItem,Slot1,False,,1,,True,無限弾薬
Herb,Herb,Drug,Slot1,False,,5,,True,ハーブ
ChemicalS,Chem Fluid,Material,Slot1,False,,1,,True,薬液（小）
ChemicalM,Strong Chem Fluid,Material,Slot1,False,,1,,True,薬液（中）
ChemicalL,Separating Agent,Material,Slot1,False,,1,,True,薬液（強）
EyeDrops,Psychostimulants,Drug,Slot1,False,,5,,True,目薬（仮）
Gunpowder,Gunpowder,Material,Slot1,False,,10,,True,ガンパウダー
